CODIGO_ACCIDENTE,FECHA,GRAVEDAD,CLASE,CHOQUE,DIRECCION,CODIGO_LOCALIDAD
4456907,07/09/2016,2,1,1.0,AK 30-CL 88 02,12
4456886,08/09/2016,3,1,1.0,AK 45-CL 134A 02,1
4456890,08/09/2016,3,1,1.0,CL 100-KR 9 02,1
4457002,10/09/2016,2,1,1.0,CL 62-KR 20F S 02,19
4457210,11/09/2016,3,1,4.0,DG 73C-KR 78B S 02,19
4457366,13/09/2016,3,1,1.0,KR 7-CL 134 02,11
4457515,13/09/2016,3,1,1.0,KR 50-CL 3 02,16
4457666,16/09/2016,1,2,,AV AVENIDA DE LAS AMERICAS-KR 64A 21,16
4458018,17/09/2016,3,1,1.0,KR 9-CL 75 02,2
4457765,17/09/2016,2,1,1.0,CL 127-KR 58 02,11
4457909,18/09/2016,3,1,1.0,CL 53-KR 77A 02,10
4458304,19/09/2016,3,1,1.0,CL 170-KR 72 02,11
4458103,20/09/2016,2,4,,AC 72-KR 70 43,10
4458198,21/09/2016,2,2,,CL 2-KR 57A 39,16
4458836,24/09/2016,3,1,4.0,AK 60-CL 24 03,13
4458837,26/09/2016,3,1,1.0,CL 116-KR 11B 02,1
4458958,27/09/2016,3,1,1.0,CL 39-KR 24 02,13
4459189,27/09/2016,2,1,1.0,CL 170-KR 8 80,1
4458773,27/09/2016,2,1,1.0,KR 30-CL 54 02,13
4459027,29/09/2016,3,1,1.0,AK 86-CL 71B 02,10
4459321,30/09/2016,3,1,1.0,KR 7-CL 116 02,1
4459380,01/10/2016,3,1,1.0,KR 55A-CL 167 02,11
4459423,02/10/2016,3,1,1.0,CL 135-KR 126BIS 02,11
4459654,04/10/2016,3,1,4.0,CL 17C-KR 134 02,9
4459760,04/10/2016,3,1,1.0,KR 78K-CL 38 S 02,8
4459926,06/10/2016,3,1,1.0,KR 9-CL 134 02,1
4459927,06/10/2016,1,2,,KR 9-CL 52A 02,2
4460202,08/10/2016,3,1,1.0,KR 5-CL 28 06,3
4459954,09/10/2016,1,2,,AV AVENIDA SUBA-CL 115 02,11
4460297,10/10/2016,2,1,1.0,KR 40-CL 24 02,13
4460377,10/10/2016,3,1,1.0,KR 53-CL 28 02,13
4460369,10/10/2016,3,1,1.0,DG 16-KR 88 02,9
4460515,11/10/2016,3,1,1.0,KR 56-CL 72 02,12
4460767,14/10/2016,2,1,1.0,KR 20C-CL 73 02,12
4461234,19/10/2016,3,1,1.0,KR 17H-CL 76 ES 46,5
4461135,19/10/2016,2,2,,KR 58C-CL 152B 02,11
4461338,19/10/2016,3,1,1.0,KR 24-CL 55 S 02,6
4461316,19/10/2016,3,1,1.0,CL 64-KR 123 02,10
4461460,20/10/2016,3,1,1.0,AK 45-CL 205 02,1
4461714,22/10/2016,3,1,1.0,KR 68A-CL 39I S 15,8
4461627,23/10/2016,3,1,1.0,CL 100-KR 60 02,12
4461530,23/10/2016,2,1,1.0,KR 9-CL 52 S 02,6
4461988,25/10/2016,3,1,1.0,KR 19-CL 65 02,12
4462007,26/10/2016,3,1,1.0,CL 134A-KR 17 02,1
4462050,26/10/2016,3,1,1.0,AV AVENIDA BOYACA-CL 8 02,8
4462099,27/10/2016,2,1,1.0,AV AVENIDA PRIMERO DE MAYO-KR 52B 02,16
4462350,29/10/2016,2,1,1.0,CL 42A-KR 80F 02,8
4462537,29/10/2016,3,1,1.0,CL 93-KR 19 02,2
4462566,30/10/2016,3,1,1.0,KR 68-CL 46A 02,13
4462336,30/10/2016,2,2,,CL 80-KR 77 02,10
4462622,31/10/2016,3,1,1.0,CL 134-KR 112 02,11
4462940,02/11/2016,3,1,1.0,CL 63-KR 81D S 02,7
4463019,03/11/2016,3,1,1.0,CL 101-KR 8 04,1
4462896,03/11/2016,2,1,1.0,KR 87-CL 7 02,8
4462978,03/11/2016,2,2,,KR 18C-CL 25 S 43,18
4463298,05/11/2016,3,1,1.0,KR 45-CL 169 02,1
4463200,06/11/2016,3,1,1.0,CL 138-KR 54D 02,11
4463377,07/11/2016,3,1,1.0,AK 45-CL 81 02,2
4463382,07/11/2016,3,1,1.0,KR 7-CL 120 02,1
4463790,08/11/2016,3,1,1.0,CL 65-KR 4 02,2
4463497,08/11/2016,3,1,1.0,KR 60-CL 63 02,12
4463846,11/11/2016,2,1,1.0,KR 24-CL 33 S 06,18
4464128,12/11/2016,3,1,1.0,KR 72-CL 21 02,9
4464040,14/11/2016,2,1,1.0,KR 87C-CL 62B S 02,7
4464052,14/11/2016,2,1,1.0,KR 30-CL 66 02,12
4464662,16/11/2016,3,1,1.0,CL 63-KR 70B S 48,19
4464686,16/11/2016,3,1,1.0,KR 30-CL 1 02,14
4464560,20/11/2016,2,1,1.0,CL 76-KR 22 02,12
4465031,21/11/2016,3,1,1.0,CL 13-KR 68D 02,9
4465215,23/11/2016,3,1,1.0,KR 9-CL 127B 02,1
4465531,25/11/2016,3,1,1.0,CL 27-KR 3 SE 11,4
4465564,26/11/2016,3,1,1.0,CL 153-KR 45 02,1
4465616,28/11/2016,2,1,1.0,CL 22B-KR 26 02,14
4466062,30/11/2016,3,1,1.0,CL 137-KR 50 02,11
4466165,02/12/2016,3,1,1.0,AV AVENIDA DE LA CONSTITUCION-KR 56 02,16
4466200,02/12/2016,3,1,1.0,AV AVENIDA BOYACA-CL 35 S 02,8
4466228,02/12/2016,3,1,1.0,CL 116-KR 71D 89,11
4466407,03/12/2016,2,3,,AK 45-CL 127 02,1
4466416,04/12/2016,2,3,,AV AVENIDA BOYACA-CL 152 02,11
4466400,06/12/2016,2,1,1.0,AV AVENIDA CARACAS-CL 75 S 65,5
4466753,06/12/2016,3,1,1.0,CL 63-KR 13 02,2
4466520,06/12/2016,3,1,1.0,AV AVENIDA PRIMERA DE MAYO-KR 38 02,16
4466956,09/12/2016,3,1,1.0,CL 80-KR 77 02,10
4466988,09/12/2016,3,1,1.0,CL 64-KR 196 S 02,19
4467175,11/12/2016,3,1,1.0,AV AVENIDA BOYACA-CL 63 02,10
4467094,11/12/2016,3,1,1.0,CL 2-KR 26 02,14
4467083,11/12/2016,3,1,4.0,CL 68G-KR 48H S 33,19
4466860,11/12/2016,2,1,1.0,KR 10-CL 134 02,1
4467477,14/12/2016,3,1,1.0,AK 68-CL 72 02,12
4467864,18/12/2016,3,1,1.0,AV AVENIDA SUBA-TR 83 02,11
4467891,18/12/2016,3,1,1.0,KR 75-CL 57R S 91,19
4467897,19/12/2016,3,1,1.0,KR 7-CL 158 02,1
4468031,20/12/2016,2,1,1.0,CL 20A-KR 96C 02,9
4468095,21/12/2016,3,1,1.0,KR 72-CL 44 S 02,8
4468242,22/12/2016,3,1,1.0,CL 132-KR 137 02,11
4468564,23/12/2016,3,1,1.0,KR 13-CL 1 S 02,15
4468305,24/12/2016,2,1,1.0,KR 89B-CL 56F S 02,7
4468307,24/12/2016,2,1,1.0,CL 45-KR 72M S 54,8
4469098,02/01/2017,3,1,1.0,KR 20A-CL 74 02,12
4469191,02/01/2017,3,1,1.0,CL 13-KR 68B 02,9
4469163,03/01/2017,3,1,4.0,CL 17-KR 104 02,9
4469150,03/01/2017,2,4,,KR 7-CL 61 02,2
4469301,05/01/2017,3,1,1.0,KR 111C-CL 70B 02,10
4469372,06/01/2017,3,1,4.0,CL 26-KR 39 02,13
4469677,07/01/2017,2,2,,KR 58B-CL 165A 71,11
4469779,11/01/2017,3,1,1.0,AV AVENIDA BOYACA-CL 73 02,10
4469714,12/01/2017,3,1,1.0,CL 45C-KR 22 02,13
4470050,16/01/2017,3,1,1.0,AK 45-CL 195 02,1
4470046,16/01/2017,3,1,1.0,CL 119A-KR 7 02,1
4470086,16/01/2017,2,2,,CL 17-KR 96B 02,9
4470159,17/01/2017,3,1,1.0,KR 7-CL 72 02,2
4470314,17/01/2017,3,1,1.0,CL 74-KR 116C 02,10
4470244,17/01/2017,3,1,1.0,CL 26-KR 86 02,10
4470271,18/01/2017,2,1,1.0,KR 51D-CL 40 S 02,16
4470554,21/01/2017,3,1,1.0,CL 80-KR 94 02,10
4470550,22/01/2017,3,1,1.0,KR 69B-CL 36 02,8
4470619,22/01/2017,2,2,,KR 50-CL 59 02,13
4470637,23/01/2017,3,1,1.0,AC 29-KR 30 S 02,15
4470712,24/01/2017,2,1,1.0,CL 7-KR 87B 02,8
4470964,25/01/2017,2,2,,KR 8C-CL 75C ES 02,5
4470900,26/01/2017,1,1,1.0,AK 45-CL 106 76,1
4471009,27/01/2017,3,1,1.0,CL 100-KR 19 02,1
4471189,28/01/2017,3,1,1.0,KR 14-CL 45 S 02,5
4471465,30/01/2017,3,1,1.0,CL 72-KR 68F 18,10
4471868,03/02/2017,2,2,,AC 36-KR 21 S 35,18
4471688,05/02/2017,2,1,1.0,KR 50-CL 23 02,13
4471936,05/02/2017,3,1,1.0,CL 54-KR 93C S 02,7
4472184,06/02/2017,3,1,1.0,CL 170-KR 21 02,1
4472004,06/02/2017,3,1,1.0,CL 26-KR 66 02,9
4472179,07/02/2017,3,1,1.0,KR 69D-CL 2A S 02,8
4472517,10/02/2017,2,3,,KR 30-CL 3 02,16
4472595,10/02/2017,3,1,4.0,CL 11-KR 31 S 02,16
4472691,11/02/2017,3,1,1.0,CL 40A-KR 30 02,13
4472665,13/02/2017,2,1,1.0,KR 93C-CL 50 S 02,7
4472948,15/02/2017,3,1,1.0,KR 97-CL 24 02,9
4473043,16/02/2017,3,1,1.0,AK 68-CL 78BIS 02,12
4473738,22/02/2017,2,1,1.0,KR 101-CL 148 02,11
4473736,22/02/2017,2,1,1.0,KR 81G-CL 65 S 02,7
4473718,23/02/2017,2,1,1.0,KR 89-CL 130 02,11
4474036,24/02/2017,3,1,1.0,KR 92-CL 165 02,11
4474188,24/02/2017,3,1,1.0,AV AVENIDA BOYACA-CL 60B S 02,19
4474142,25/02/2017,3,1,1.0,AV AVENIDA BOYACA-CL 23F 02,9
4474316,25/02/2017,3,1,1.0,CL 61B-KR 19D 15,19
4474466,28/02/2017,3,1,1.0,KR 30-CL 08 02,14
4474908,04/03/2017,3,1,1.0,KR 24-CL 49 S 02,6
4482406,04/03/2017,3,1,1.0,KR 15-CL 58 S 02,6
4474837,04/03/2017,3,1,1.0,CL 139-KR 118 02,11
4474986,06/03/2017,3,1,1.0,KR 30-CL 23BIS 02,14
4474740,06/03/2017,2,1,1.0,CL 62-KR 86A S 02,7
4475188,07/03/2017,3,1,1.0,AV AVENIDA DEL SUR-CL 65A S 02,7
4475173,08/03/2017,3,1,1.0,KR 94-CL 75L 02,10
4475118,08/03/2017,3,1,1.0,KR 19-CL 65 02,12
4475286,09/03/2017,3,1,1.0,CL 60-KR 7 62,2
4475424,10/03/2017,2,1,1.0,CL 51-KR 38 S 25,6
4475489,11/03/2017,3,1,1.0,AK 45-CL 130 35,1
4475619,13/03/2017,3,1,1.0,KR 91-CL 145B 84,11
4475669,13/03/2017,2,1,1.0,CL 49-KR 81H S 02,8
4475477,13/03/2017,2,2,,AV AVENIDA CARACAS-CL 17 02,3
4475712,13/03/2017,3,1,1.0,KR 11-CL 187 02,1
4475685,14/03/2017,3,1,1.0,KR 18B-CL 73D 02,19
4476151,16/03/2017,3,1,1.0,CL 72-KR 70 02,10
4476153,17/03/2017,3,1,1.0,AV AVENIDA BOYACA-CL 5 02,8
4476502,18/03/2017,3,1,1.0,KR 68-CL 68 02,12
4476081,20/03/2017,2,1,1.0,CL 174-KR 114 02,11
4476198,20/03/2017,3,1,1.0,AK 45-CL 127 02,1
4476489,22/03/2017,3,1,1.0,KR 21-CL 128D 25,1
4477174,29/03/2017,2,2,,KR 59-CL 4D 02,16
4477305,29/03/2017,3,1,1.0,AK 45-CL 128 02,1
4477568,01/04/2017,3,1,1.0,CL 80-KR 94 02,10
4478145,06/04/2017,3,1,1.0,CL 69-KR 15 02,12
4478081,06/04/2017,3,1,1.0,CL 100-KR 19 02,1
4478288,07/04/2017,3,1,1.0,AV AVENIDA CIUDAD DE CALI-CL 8 02,8
4478541,08/04/2017,3,1,1.0,AK 30-CL 08 S 02,14
4478777,14/04/2017,3,1,1.0,CL 168-KR 20 02,1
4478953,18/04/2017,2,1,1.0,CL 63-KR 77G 45,7
4479166,20/04/2017,3,1,1.0,AK 68-CL 98A 02,12
4479251,21/04/2017,3,1,1.0,CL 26-KR 69 02,9
4479428,22/04/2017,3,1,1.0,AC 80-KR 90 20,10
4479824,26/04/2017,2,4,,AV AVENIDA PRIMERO DE MAYO-KR 40K 02,8
4479804,26/04/2017,3,1,1.0,CL 26-KR 69BISA S 02,8
4479910,27/04/2017,3,1,1.0,AK 45-CL 127 02,1
4480121,27/04/2017,3,1,1.0,CL 90-KR 94 02,10
4480249,29/04/2017,3,1,1.0,CL 128B-KR 22 02,1
4480193,29/04/2017,3,1,1.0,DG 13BIS-KR 24C S 18,15
4480344,01/05/2017,3,1,1.0,AK 10-CL 2 02,3
4480508,03/05/2017,2,2,,KR 72-CL 72 02,10
4480475,03/05/2017,3,1,1.0,CL 63-KR 85K 02,10
4480500,03/05/2017,3,1,1.0,CL 100-KR 15 02,1
4480515,04/05/2017,2,1,1.0,CL 6B-KR 90C 02,8
4480657,05/05/2017,2,2,,CL 1-KR 10 02,3
4480894,06/05/2017,3,1,1.0,CL 50-KR 100 S 02,7
4480888,06/05/2017,3,1,1.0,KR 90-CL 69A 02,10
4480817,07/05/2017,3,1,1.0,CL 92-KR 13 02,2
4480728,07/05/2017,2,2,,CL 100-KR 10 59,1
4481267,10/05/2017,2,2,,CL 139-KR 140B 02,11
4481296,11/05/2017,2,6,,KR 86-CL 43 S 02,8
4481310,11/05/2017,3,1,1.0,KR 30-CL 71 02,12
4481518,12/05/2017,3,1,1.0,AK 45-CL 172 02,1
4481776,13/05/2017,3,1,1.0,CL 191-KR 11A 02,1
4481737,15/05/2017,3,1,1.0,CL 26-KR 96A 21,9
4481920,16/05/2017,3,1,1.0,CL 152B-KR 114C 02,11
4481972,16/05/2017,3,1,1.0,KR 105-CL 67F 02,10
4481999,17/05/2017,3,1,1.0,AV AVENIDA BOYACA-CL 9 02,8
4482152,18/05/2017,3,1,1.0,AK 30-CL 63 02,12
4482173,19/05/2017,2,2,,DG 51A-KR 61A S 02,6
4482501,22/05/2017,3,1,1.0,CL 80-KR 24 02,12
4482643,22/05/2017,3,1,1.0,AV AVENIDA BOYACA-CL 131 02,11
4482720,24/05/2017,2,1,1.0,KR 105F-CL 69 40,10
4482803,24/05/2017,3,1,1.0,CL 80-KR 112BIS 02,10
4483185,27/05/2017,3,1,1.0,CL 170-KR 93 02,11
4483319,29/05/2017,3,1,1.0,AK 45-CL 215 02,1
4484094,02/06/2017,3,1,1.0,CL 63-TR 60 02,12
4483615,04/06/2017,2,2,,AV AVENIDA PRIMERO DE MAYO-CL 53 S 02,8
4483822,04/06/2017,3,1,1.0,DG 16-KR 103A 02,9
4483764,05/06/2017,2,1,1.0,TR 53A-CL 2 02,16
4484272,07/06/2017,3,1,1.0,DG 63F-AK 89A 71,10
4484475,10/06/2017,3,1,1.0,AK 45-CL 170 02,1
4484700,12/06/2017,2,2,,CL 138-KR 72 02,11
4484658,12/06/2017,3,1,1.0,CL 144-KR 141A 02,11
4484655,12/06/2017,3,1,1.0,CL 116-KR 60 02,11
4485123,14/06/2017,3,1,1.0,KR 7-CL 119 02,1
4484950,15/06/2017,3,1,1.0,CL 22A-KR 70 02,9
4485278,18/06/2017,3,1,1.0,AV AVENIDA CIUDAD DE CALI-CL 19 02,9
4485132,18/06/2017,2,2,,AV AVENIDA PRIMERA DE MAYO-KR 69 30,8
4485467,20/06/2017,2,1,1.0,CL 40-KR 90D S 02,8
4486322,30/06/2017,2,1,1.0,KR 96A-CL 128C 15,11
4486616,05/07/2017,3,1,1.0,DG 91C-KR 18F S 15,7
4486995,07/07/2017,3,1,1.0,AK 24-CL 48B S 02,6
4486976,08/07/2017,3,1,1.0,KR 7-CL 45 2,2
4486897,08/07/2017,2,1,1.0,KR 30-CL 5 02,14
4487655,16/07/2017,3,1,1.0,KR 27B-CL 63 2,12
4487982,19/07/2017,2,2,,CL 63-KR 80I 02,7
4488066,19/07/2017,3,1,1.0,KR 28-CL 51B 16,6
4488167,21/07/2017,3,1,1.0,AK 45-CL 182 02,1
4488252,22/07/2017,2,2,,AV AVENIDA BOYACA-CL 6 02,8
4488286,22/07/2017,3,1,1.0,CL 13-KR 90 2,9
4488333,23/07/2017,3,1,1.0,KR 89B-CL 58 S 02,7
4488464,24/07/2017,3,1,1.0,CL 43-KR 82 2,8
4488539,25/07/2017,3,1,1.0,KR 30-CL 25 90,13
4488675,25/07/2017,3,1,1.0,AK 45-CL 104 02,1
4488768,26/07/2017,3,1,1.0,CL 53BISA-KR 12 S 2,6
4488824,28/07/2017,3,1,1.0,AV AVENIDA DE LAS AMERICAS-KR 43A 02,16
4488901,29/07/2017,2,1,1.0,AK 68-CL 21 02,16
4488909,29/07/2017,2,2,,KR 80-CL 2 51,8
4489089,31/07/2017,3,1,1.0,TR 78J-CL 41B S 34,8
4489213,01/08/2017,3,1,1.0,CL 97-KR 19 02,2
4489362,03/08/2017,3,1,1.0,KR 7-CL 175 2,1
4489765,07/08/2017,2,2,,KR 7-CL 186 02,1
4489950,08/08/2017,3,1,1.0,AC 25-KR 113 2,9
4490035,09/08/2017,2,2,,KR 10-CL 4 S 02,15
4490665,15/08/2017,3,1,1.0,AV AVENIDA BOYACA-CL 22 02,9
4490621,15/08/2017,3,1,1.0,CL 13-KR 129 02,9
4490517,15/08/2017,2,1,1.0,AV AVENIDA DE LAS AMERICAS-KR 65 2,16
4490685,16/08/2017,3,1,1.0,DG 54-AK 16 02,13
4490670,16/08/2017,3,1,1.0,KR 15-CL 127 02,1
4490860,18/08/2017,3,1,1.0,CL 71C-KR 90 2,10
4491055,19/08/2017,3,1,1.0,KR 30-CL 6 02,14
4490969,20/08/2017,3,1,1.0,AV AVENIDA BOYACA-DG 51 S 02,6
4491326,23/08/2017,3,1,1.0,KR 7-CL 39 02,2
4491465,24/08/2017,3,1,1.0,KR 7-CL 29 02,3
4491654,26/08/2017,3,1,1.0,CL 98A-TR 55 02,12
4492038,29/08/2017,3,1,1.0,AK 72-CL 77A 30,10
4492267,31/08/2017,3,1,1.0,KR 57R-CL 76 61,7
4492112,31/08/2017,2,1,1.0,AV AVENIDA DE LAS AMERICAS-KR 43 2,16
4492135,31/08/2017,3,1,1.0,CL 128B-KR 80 2,11
4492176,31/08/2017,3,1,1.0,AV AVENIDA BOYACA-CL 39I S 20,8
4492363,01/09/2017,3,1,1.0,CL 13-KR 72A 02,9
4492483,02/09/2017,3,1,1.0,KR 23-CL 124 2,1
4492302,03/09/2017,2,1,1.0,CL 132-KR 105C 2,11
4492516,03/09/2017,2,1,1.0,KR 29A-CL 29 S 02,16
4492786,05/09/2017,2,3,,AK 45-CL 220 02,1
4492765,06/09/2017,2,1,1.0,TR 53-CL 2B 10,16
4492911,06/09/2017,2,2,,KR 80-CL 58C 02,7
4492749,07/09/2017,2,1,1.0,CL 63A-KR 70D 02,10
4492996,08/09/2017,3,1,1.0,CL 170-KR 81 02,11
4493002,08/09/2017,3,1,1.0,CL 81-KR 11 71,2
4493125,09/09/2017,3,1,4.0,KR 28A-CL 17A 20,14
4493257,11/09/2017,3,1,1.0,KR 33-CL 55A S 02,6
4493563,14/09/2017,3,1,1.0,KR 33-CL 48C S 02,6
4494106,18/09/2017,2,2,,CL 72-KR 70G 02,10
4494157,19/09/2017,3,1,1.0,KR 10-CL 54 02,2
4493995,19/09/2017,1,2,,CL 77-KR 20 77,12
4494270,21/09/2017,3,1,1.0,AV AVENIDA BOYACA-CL 142 02,11
4494230,21/09/2017,2,2,,KR 147ABIS-CL 139A 61,11
4494415,23/09/2017,2,2,,KR 41A-CL 4C 02,16
4494824,27/09/2017,3,1,1.0,CL 3-KR 31D 35,16
4495055,29/09/2017,3,1,1.0,KR 24-CL 68 06,12
4495101,30/09/2017,2,2,,TR 126B-CL 134 03,11
4495364,02/10/2017,3,1,1.0,CL 26-KR 50 2,13
4495548,04/10/2017,3,1,1.0,AV AVENIDA CIRCUNVALAR-CL 12 2,17
4495589,05/10/2017,2,2,,CL 129-KR 88B 2,11
4495840,05/10/2017,2,1,1.0,AC 57R-KR 76 S 61,19
4496008,07/10/2017,3,1,1.0,AC 13-KR 124 02,9
4496022,07/10/2017,3,1,1.0,CL 195-KR 21 2,1
4496146,09/10/2017,3,1,1.0,AK 45-CL 183 02,1
4496132,09/10/2017,3,1,1.0,KR 94-CL 86 02,10
4496218,11/10/2017,3,1,1.0,AC 80-KR 69 02,10
4496368,11/10/2017,3,1,1.0,KR 68-CL 21 2,16
4496389,12/10/2017,2,2,,KR 105-CL 65 2,10
4496823,14/10/2017,3,1,1.0,AC 26-KR 69B 02,9
4496761,17/10/2017,2,1,1.0,AV AVENIDA DE LAS AMERICAS-KR 68 02,8
4496848,18/10/2017,3,1,1.0,KR 30-CL 6 02,14
4496792,18/10/2017,2,2,,AV AVENIDA BOYACA-CL 53 02,10
4497050,20/10/2017,3,1,1.0,KR 30-CL 40 02,13
4497402,24/10/2017,3,1,1.0,KR 45-CL 128A 73,1
4497531,25/10/2017,3,1,1.0,AV AVENIDA PRIMERA DE MAYO-KR 79D 02,8
4498427,01/11/2017,3,1,1.0,CL 70-KR 28A 02,12
4498481,02/11/2017,3,1,1.0,CL 100-KR 45 02,1
4498511,03/11/2017,2,2,,AC 26-KR 85B 2,9
4498624,04/11/2017,2,1,1.0,CL 38C-KR 78M 2,8
4498752,06/11/2017,3,1,1.0,CL 35-KR 14 02,18
4499049,08/11/2017,3,1,1.0,CL 80-KR 89A 02,10
4499352,08/11/2017,3,1,1.0,KR 20-CL 134 17,1
4499532,10/11/2017,3,1,4.0,KR 69L-CL 65 69,10
4499283,10/11/2017,2,2,,CL 41-KR 80G S 02,8
4499350,11/11/2017,3,1,1.0,AK 45-CL 171 02,1
4499404,11/11/2017,3,1,1.0,CL 161-KR 16D 2,1
4500008,18/11/2017,2,1,1.0,AC 72-KR 29 2,12
4500202,18/11/2017,3,1,1.0,CL 60A-KR 74 S 2,19
4500122,20/11/2017,2,1,1.0,CL 34-KR 93 2,8
4500746,25/11/2017,2,1,1.0,CL 72-KR 65B 2,12
4501001,25/11/2017,3,1,1.0,KR 67-CL 66A 02,19
4501215,28/11/2017,3,1,1.0,CL 19-KR 16 02,14
4501182,28/11/2017,2,2,,KR 30-CL 31 S 02,16
4501376,29/11/2017,3,1,1.0,CL 80-KR 110A 2,10
4501324,29/11/2017,3,1,1.0,KR 7C-CL 60 2,2
4501515,01/12/2017,2,1,1.0,CL 2F-KR 39A 02,16
4501792,04/12/2017,2,2,,AV AVENIDA BOYACA-KR 24 E 2,6
4501883,06/12/2017,3,1,4.0,AV AVENIDA CIUDAD DE CALI-KR 90 02,10
4502368,07/12/2017,3,1,1.0,KR 30-CL 41 02,13
4502101,07/12/2017,2,1,1.0,AV AVENIDA BOYACA-CL 13 02,9
4502829,13/12/2017,3,1,1.0,CL 26-KR 98 2,9
4505730,15/12/2017,2,4,,AV AVENIDA CIUDAD DE CALI-CL 33 2,8
4503041,16/12/2017,2,2,,KR 9-CL 18 02,3
4503238,17/12/2017,3,1,1.0,CL 63-KR 80I 02,7
4503369,18/12/2017,3,1,1.0,KR 3A-CL 110A S 09,5
4503613,20/12/2017,2,1,1.0,KR 4-CL 91 2,2
4503787,22/12/2017,3,1,1.0,AV AVENIDA BOYACA-CL 17 02,9
4503723,22/12/2017,2,2,,KR 100-CL 16H 02,9
4503782,22/12/2017,3,1,1.0,CL 134-KR 13 02,1
4504179,26/12/2017,3,1,1.0,KR 30-CL 6 2,14
4504466,29/12/2017,3,1,1.0,AC 26-KR 75 02,9
4504529,31/12/2017,3,1,1.0,AV AVENIDA DEL SUR-KR 63 2,19
4504888,05/01/2018,2,1,1.0,CL 63-KR 109 2,10
4504894,07/01/2018,2,1,1.0,KR 90-CL 20 02,9
4505036,09/01/2018,3,1,1.0,AV AVENIDA CARACAS-CL 17 S 02,15
4505080,10/01/2018,2,1,1.0,KR 80-CL 2 51,8
4505146,10/01/2018,3,1,1.0,KR 45-CL 197 2,1
4505274,12/01/2018,3,1,1.0,AK 45-CL 93 64,2
4505590,15/01/2018,3,1,1.0,KR 71C-CL 99 2,11
4505798,18/01/2018,3,1,4.0,KR 98A-CL 15A 2,9
4506306,24/01/2018,3,1,1.0,CL 26-KR 85 02,10
4506470,24/01/2018,3,1,1.0,CL 170-KR 45 2,11
4506474,25/01/2018,2,1,1.0,CL 100-KR 45 02,11
4506409,25/01/2018,2,2,,KR 45-CL 187 2,1
4506480,25/01/2018,3,1,1.0,AV AVENIDA DE LAS AMERICAS-KR 72 2,8
4506798,29/01/2018,3,1,1.0,CL 52A-KR 34 2,16
4506984,31/01/2018,2,2,,KR 73-CL 39 S 64,8
4507161,01/02/2018,3,1,1.0,CL 43-KR 81L S 23,2
4507210,02/02/2018,2,2,,KR 10-CL 28 S 2,4
4507353,02/02/2018,3,1,1.0,CL 7-KR 4 2,17
4507402,03/02/2018,3,1,1.0,KR 27-CL 2 02,14
4507571,03/02/2018,3,1,1.0,KR 80-CL 2 57,8
4507502,05/02/2018,3,1,1.0,AV AVENIDA DE LAS AMERICAS-KR 50 2,16
4507617,05/02/2018,3,1,1.0,AV AVENIDA CENTENARIO-KR 118 08,9
4507539,06/02/2018,2,1,1.0,KR 86-CL 22 2,9
4507761,07/02/2018,3,1,1.0,KR 18C-CL 122 2,1
4507840,08/02/2018,3,1,1.0,AC 13-KR 65 02,16
4507936,09/02/2018,3,1,1.0,CL 19-KR 72 2,9
4508126,10/02/2018,3,1,1.0,CL 148N-KR 7H 49,13
4508084,11/02/2018,3,1,1.0,CL 53-KR 59 02,13
4508433,14/02/2018,3,1,1.0,KR 17A-DG 81 S 02,6
4508902,16/02/2018,3,1,1.0,KR 80G-CL 6 02,8
4508693,16/02/2018,3,1,1.0,CL 92-KR 14 02,2
4508921,19/02/2018,2,1,1.0,KR 115-CL 148 40,11
4509042,20/02/2018,3,1,1.0,KR 45-CL 164 02,1
4509310,22/02/2018,2,4,,KR 11-CL 82 2,2
4509705,23/02/2018,3,1,1.0,AV AVENIDA DE LAS AMERICAS-KR 56 2,16
4509744,24/02/2018,3,1,1.0,KR 62-CL 168 2,11
4509738,26/02/2018,3,1,1.0,KR 27-CL 20 2,14
4509871,27/02/2018,3,1,1.0,AV AVENIDA BOYACA-KR 15 02,19
4510204,02/03/2018,3,1,1.0,KR 5-CL 21 02,3
4510524,03/03/2018,3,1,1.0,CL 6-KR 4 58,3
4510599,04/03/2018,3,1,1.0,KR 86-CL 2 26,8
4510564,05/03/2018,3,1,1.0,CL 20-KR 44 02,16
4510753,06/03/2018,2,1,1.0,CL 42A-KR 80F S 2,8
4511146,09/03/2018,3,1,1.0,AV AVENIDA BOYACA-CL 1 2,8
4511005,09/03/2018,2,2,,KR 13B-CL 41B ES 02,4
4511079,09/03/2018,3,1,1.0,AK 72-CL 23C 02,9
4511064,09/03/2018,2,1,1.0,CL 59-KR 89 S 02,7
4511426,10/03/2018,3,1,1.0,KR 80-CL 2 2,8
4511417,10/03/2018,3,1,4.0,CL 50-KR 7 2,18
4511103,11/03/2018,2,2,,CL 26-KR 113 85,9
10447374,11/03/2018,2,1,1.0,KR 50-CL 26 2,13
4511433,12/03/2018,3,1,1.0,KR 87-CL 51 S 02,7
4511370,12/03/2018,2,4,,CL 43-KR 86 S 02,8
4511204,12/03/2018,3,1,1.0,AV AVENIDA DEL SUR-KR 60A 02,8
4511472,13/03/2018,3,1,1.0,CL 127-KR 58 02,11
4511624,14/03/2018,3,1,1.0,CL 108-KR 45 02,11
4512207,17/03/2018,3,1,1.0,KR 60-CL 70C 2,12
